sentence_number;phenomenon_type_number;phenomenon_type;linguistic_phenomenon_number;linguistic_phenomenon;error_name_number;error_name;problem_source_number;problem_source;correct_sentence;incorrect_sentence;note_exception;note;origin_of_the_sentence;search_source;meta-llama_Llama-3.3-70B-Instruct_correct_nll;meta-llama_Llama-3.3-70B-Instruct_incorrect_nll;meta-llama_Llama-3.3-70B-Instruct_certainty;meta-llama_Llama-3.3-70B-Instruct_decision
1.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;1;(atsi)rasti(s);Mieste atsirado valkataujančių šunų.;Mieste atsirado valkataujantys šunys.; ;;vlkk;;3.7944576740264893;4.35416841506958;0.5597107410430908;correct
2.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;1;(atsi)rasti(s);Kolektyve vėl atsirado nesutarimų.;Kolektyve vėl atsirado nesutarimai.; ;;vlkk;;3.20477294921875;3.3567516803741455;0.1519787311553955;correct
3.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;1;(atsi)rasti(s);Nuo šviežių braškių kartais atsiranda odos išbėrimų.;Nuo šviežių braškių kartais atsiranda odos išbėrimai.; ;;vlkk;;2.9959700107574463;2.9849894046783447;-0.010980606079101562;incorrect
4.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Pirkėja paklausė, ar yra pieno.;Pirkėja paklausė, ar yra pienas.; ;;vlkk;;3.9115259647369385;4.01706075668335;0.10553479194641113;correct
5.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Žmogaus gyvenime būna potvynių ir atoslūgių.;Žmogaus gyvenime būna potvyniai ir atoslūgiai.; ;;vlkk;;2.3427717685699463;2.6311731338500977;0.28840136528015137;correct
6.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Gal jūsų šeimoje yra kokių problemų?;Gal jūsų šeimoje yra kokios problemos?; ;Changed 'sunkumų' to 'problemų'.;vlkk;;2.632988452911377;3.2216622829437256;0.5886738300323486;correct
7.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Kiekvienoje visuomenėje visada buvo, yra ir bus dorų žmonių.;Kiekvienoje visuomenėje visada buvo, yra ir bus dori žmonės.; ;;vlkk;;2.1251306533813477;2.380829334259033;0.25569868087768555;correct
8.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;3;daugėti;Susirgimų gripu padaugėjo.;Susirgimai gripu padaugėjo.; ;;vlkk;;5.020545482635498;5.4792046546936035;0.45865917205810547;correct
9.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;4;įvykti;Spėjama, kad nuo trankios muzikos įvyksta pokyčių smegenyse.;Spėjama, kad nuo trankios muzikos įvyksta pokyčiai smegenyse.; ;;vlkk;;3.028677463531494;2.793586254119873;-0.2350912094116211;incorrect
;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;4;įvykti;Per tą laiką įvyko ir nelaimių.;Per tą laiką įvyko ir nelaimės.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;3.6109728813171387;3.285329818725586;-0.32564306259155273;incorrect
