sentence_number;phenomenon_type_number;phenomenon_type;linguistic_phenomenon_number;linguistic_phenomenon;error_name_number;error_name;problem_source_number;problem_source;correct_sentence;incorrect_sentence;note_exception;note;origin_of_the_sentence;search_source;utter-project_EuroLLM-1.7B_correct_nll;utter-project_EuroLLM-1.7B_incorrect_nll;utter-project_EuroLLM-1.7B_certainty;utter-project_EuroLLM-1.7B_decision
1.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;1;(atsi)rasti(s);Mieste atsirado valkataujančių šunų.;Mieste atsirado valkataujantys šunys.; ;;vlkk;;4.276472091674805;4.604071617126465;0.32759952545166016;correct
2.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;1;(atsi)rasti(s);Kolektyve vėl atsirado nesutarimų.;Kolektyve vėl atsirado nesutarimai.; ;;vlkk;;5.153924465179443;5.2376790046691895;0.0837545394897461;correct
3.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;1;(atsi)rasti(s);Nuo šviežių braškių kartais atsiranda odos išbėrimų.;Nuo šviežių braškių kartais atsiranda odos išbėrimai.; ;;vlkk;;3.5331997871398926;3.605923891067505;0.0727241039276123;correct
4.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Pirkėja paklausė, ar yra pieno.;Pirkėja paklausė, ar yra pienas.; ;;vlkk;;5.1933112144470215;4.794363498687744;-0.39894771575927734;incorrect
5.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Žmogaus gyvenime būna potvynių ir atoslūgių.;Žmogaus gyvenime būna potvyniai ir atoslūgiai.; ;;vlkk;;2.6213715076446533;2.8350777626037598;0.21370625495910645;correct
6.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Gal jūsų šeimoje yra kokių problemų?;Gal jūsų šeimoje yra kokios problemos?; ;Changed 'sunkumų' to 'problemų'.;vlkk;;4.145263195037842;4.278129577636719;0.13286638259887695;correct
7.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;2;būti;Kiekvienoje visuomenėje visada buvo, yra ir bus dorų žmonių.;Kiekvienoje visuomenėje visada buvo, yra ir bus dori žmonės.; ;;vlkk;;3.1361517906188965;3.032151699066162;-0.10400009155273438;incorrect
8.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;3;daugėti;Susirgimų gripu padaugėjo.;Susirgimai gripu padaugėjo.; ;;vlkk;;5.824802875518799;5.611018657684326;-0.21378421783447266;incorrect
9.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;4;įvykti;Spėjama, kad nuo trankios muzikos įvyksta pokyčių smegenyse.;Spėjama, kad nuo trankios muzikos įvyksta pokyčiai smegenyse.; ;;vlkk;;3.3828752040863037;3.3296360969543457;-0.05323910713195801;incorrect
;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;4;įvykti;Per tą laiką įvyko ir nelaimių.;Per tą laiką įvyko ir nelaimės.; ;;internet;https://salcininkai.lt/valstybine-kalba/linksniu-vartojimo-klaidos/1004;5.3749213218688965;5.308859825134277;-0.06606149673461914;incorrect
10.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;5;kilti;Dėl projekto kilo visokių abejonių.;Dėl projekto kilo visokios abejonės.; ;;vlkk;;4.263920307159424;3.8991587162017822;-0.3647615909576416;incorrect
11.0;1;Use of Cases;1;3.1 Nominative case;1;3.1.1 Nominative cases should not be used to express an indefinite quantity of things or a part of something (instead of the partitive genitive) with certain verbs.;5;kilti;Pasitarime iškilo naujų klausimų dėl darbo sutarčių.;Pasitarime iškilo nauji klausimai dėl darbo sutarčių.; ;;vlkk;;4.134093284606934;4.03774881362915;-0.0963444709777832;incorrect
